Date,ASA51,XNDX,SPXT,CACR,DAX,NKYTR,HSI1,KSP2TR
14/07/2014,46978.86,4275.48,3585.37,9971.05,9783.01,22338.36,55880.64,266.64
15/07/2014,46977.99,4259.15,3578.46,9868.52,9719.41,22481.97,56151.79,269.88
16/07/2014,47043.55,4278.6,3593.91,10014.65,9859.27,22458.81,56303.34,270.32
17/07/2014,47073.99,4219.49,3551.73,9893.29,9753.88,22445.61,56297.58,271.47
18/07/2014,47152.7,4286.82,3588.21,9937.28,9720.02,22219.92,56139.42,271.19
22/07/2014,47251.83,4310.47,3597.95,10015.71,9734.33,22406.21,56922.88,272.43
23/07/2014,47536.97,4337.27,3604.3,10031.3,9753.56,22384.71,57377.07,272.12
24/07/2014,47631.2,4334,3606.1,10109.99,9794.06,22320.25,57783.08,272.29
25/07/2014,47594.59,4314.39,3588.68,9926.37,9644.01,22573.54,57961.42,273.07
28/07/2014,47542.44,4316.65,3589.73,9958.98,9598.17,22678,58470.32,275.21
29/07/2014,47636.63,4308.04,3573.65,10006.66,9653.63,22808.92,58977.52,277.78
30/07/2014,47930.29,4326.71,3574.45,9884.54,9593.68,22850.05,59196.94,281.06
31/07/2014,48015.77,4235.83,3503.19,9732.89,9407.48,22812.87,59255.91,279.52
1/08/2014,47363.67,4221.87,3493.18,9633.5,9210.08,22670.25,58718.76,278.36
4/08/2014,47231.57,4253.62,3518.31,9666.61,9154.14,22599.26,58880.7,279.49
5/08/2014,47041.36,4218.08,3484.56,9702.49,9189.74,22374.08,58996.01,277.4
6/08/2014,46985.38,4217.49,3485.67,9643.5,9130.04,22139.71,58842.52,276.33
7/08/2014,46959.91,4202.53,3467.14,9512.13,9038.97,22245.71,58372.03,275.33
8/08/2014,46331.71,4235.5,3507.21,9507.5,9009.32,21582.68,58242.76,271.58
11/08/2014,46516.88,4259.87,3517.53,9621.86,9180.74,22097.08,58995.85,272.93
12/08/2014,47143.73,4254.61,3511.96,9540.39,9069.47,22142.05,59113.89,272.95
13/08/2014,47026.2,4302.66,3536.42,9615.2,9198.88,22218.46,59594.97,275.61
14/08/2014,47314.43,4324.46,3551.97,9639.57,9225.1,22365.88,59381.95,275.58
18/08/2014,47647.34,4380.44,3582.7,9697.39,9245.33,22377.61,59761.43,273.88
19/08/2014,48090.45,4404.49,3601.33,9751.94,9334.28,22563.36,60177.47,276.35
20/08/2014,48202.77,4405.12,3610.49,9720.63,9314.57,22570.17,60345.42,276.53
21/08/2014,48239.2,4412.01,3621.23,9840.15,9401.53,22762.58,59948.11,272.11
22/08/2014,48299.9,4418.25,3614.5,9748.16,9339.17,22693.93,60231.43,273.9
25/08/2014,48208.11,4434.55,3631.86,9952.86,9510.14,22802.09,60369.44,274.11
26/08/2014,48244.74,4439.13,3635.71,10070.47,9588.15,22667.69,60147.77,274.81
27/08/2014,48471.98,4440.86,3636.64,10074.71,9569.71,22700.39,59780.15,275.58
28/08/2014,48250.97,4433.33,3630.98,10007.73,9462.56,22590.85,59364,275.9
29/08/2014,48315.27,4451.78,3643.34,10042.1,9470.17,22539.31,59366.55,275.09
2/09/2014,48644.41,4466.23,3641.52,10035.89,9507.02,22895.87,59397.31,272.18
3/09/2014,48729.01,4439.33,3639.35,10135.69,9626.49,22983.18,60763.63,271.83
